time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-05T07:45:47.758Z,-6.4076,129.1891,206.53,5,mb,,36,2.613,0.79,us,us70006uxt,2020-01-05T08:00:44.040Z,"290km NW of Saumlaki, Indonesia",earthquake,7.2,7,0.089,44,reviewed,us,us
2020-01-05T06:31:09.255Z,-21.2939,171.3283,44.1,4.6,mb,,113,3.079,0.53,us,us70006ux7,2020-01-05T07:01:04.040Z,"143km NNW of Ile Hunter, New Caledonia",earthquake,9.9,9.1,0.112,24,reviewed,us,us
2020-01-05T04:59:57.015Z,51.1768,-179.4184,50.76,4.9,mb,,129,0.829,0.89,us,us70006uww,2020-01-05T07:03:13.299Z,"23km WSW of Amatignak Island, Alaska",earthquake,8.5,7.2,0.031,320,reviewed,us,us
2020-01-05T04:40:50.731Z,16.4222,-94.3471,97.24,5.8,mww,,84,2.949,1.09,us,us70006uwq,2020-01-07T04:52:44.647Z,"6km S of Santo Domingo Zanatepec, Mexico",earthquake,7.7,6.4,0.078,16,reviewed,us,us
2020-01-05T04:32:53.206Z,64.7012,-17.7515,8.19,5,mb,,102,1.535,1.21,us,us70006uwl,2020-01-05T04:49:34.040Z,"110km S of Akureyri, Iceland",earthquake,8.5,4.8,0.044,167,reviewed,us,us
2020-01-05T02:10:21.550Z,22.7435,143.139,107.15,5.1,mww,,45,4.419,0.96,us,us70006uvz,2020-01-06T02:14:08.806Z,"291km SE of Iwo Jima, Japan",earthquake,7.4,6,0.078,16,reviewed,us,us
2020-01-05T01:27:45.751Z,-20.513,-177.6658,519.66,4.6,mb,,113,4.895,0.71,us,us70006uvm,2020-01-05T01:46:35.040Z,"108km E of Ndoi Island, Fiji",earthquake,8.2,10.4,0.069,62,reviewed,us,us
2020-01-04T22:55:47.363Z,-8.6349,112.5608,81.15,4.7,mb,,41,1.582,0.96,us,us70006utn,2020-01-05T02:45:31.610Z,"30km SSW of Krajan Tambakrejo, Indonesia",earthquake,7.8,7.2,0.079,48,reviewed,us,us
2020-01-04T22:36:58.152Z,-28.6276,-176.9263,10,4.9,mb,,115,1.072,0.79,us,us70006utc,2020-01-04T22:55:43.040Z,"118km NE of Raoul Island, New Zealand",earthquake,7.7,1.9,0.112,25,reviewed,us,us
2020-01-04T20:00:56.548Z,-0.9727,23.7422,10,4.5,mb,,67,7.005,0.95,us,us70006urc,2020-01-04T20:19:36.040Z,"211km SSW of Yangambi, Democratic Republic of the Congo",earthquake,7.2,1.9,0.097,32,reviewed,us,us
2020-01-04T13:52:56.583Z,6.793,-73.0052,162.32,4.7,mb,,96,2.336,0.77,us,us70006upb,2020-01-04T16:43:31.040Z,"11km N of Aratoca, Colombia",earthquake,10.2,9.5,0.03,332,reviewed,us,us
2020-01-04T09:48:37.542Z,-1.2186,-12.8335,10,4.8,mb,,74,11.171,0.7,us,us70006un5,2020-01-04T11:45:51.040Z,"North of Ascension Island",earthquake,5.2,1.9,0.09,38,reviewed,us,us
2020-01-04T08:24:38.178Z,25.5036,63.1313,10,4.9,mb,,97,6.298,0.62,us,us70006ulm,2020-01-04T11:04:27.956Z,"43km NW of Pasni, Pakistan",earthquake,10.1,1.9,0.08,49,reviewed,us,us
2020-01-04T07:18:18.376Z,-36.8454,176.9524,320.26,5.1,mww,,72,1.296,1.15,us,us70006uli,2020-01-06T22:29:24.040Z,"100km E of Tairua, New Zealand",earthquake,7.1,5.6,0.08,15,reviewed,us,us
2020-01-04T05:38:48.895Z,-23.1647,-177.9115,277.06,4.5,mb,,117,6.055,0.91,us,us70006ukh,2020-01-04T06:05:34.040Z,"290km SSE of Ndoi Island, Fiji",earthquake,13.5,9.9,0.108,25,reviewed,us,us
2020-01-04T04:45:07.713Z,19.1761,145.8269,131.23,4.6,mb,,81,14.89,1.17,us,us70006ukc,2020-01-04T05:05:07.040Z,"48km NNE of Agrihan, Northern Mariana Islands",earthquake,10.4,7.4,0.07,60,reviewed,us,us
2020-01-03T23:36:10.314Z,4.601,125.9609,104.05,4.5,mb,,105,2.481,0.8,us,us70006uhx,2020-01-03T23:57:33.040Z,"104km SSE of Sarangani, Philippines",earthquake,5.8,7.1,0.082,44,reviewed,us,us
2020-01-03T15:28:54.373Z,11.7289,-86.2978,109.08,5.5,mww,,148,0.42,1.04,us,us70006u7m,2020-01-05T12:16:42.176Z,"9km W of Santa Teresa, Nicaragua",earthquake,7,5.9,0.065,23,reviewed,us,us
2020-01-03T14:16:42.327Z,-3.3471,-80.0871,61.34,4.9,mb,,155,1.205,1.37,us,us70006u7d,2020-01-03T15:45:25.263Z,"14km SW of Puerto Bolivar, Ecuador",earthquake,12.6,10.3,0.039,204,reviewed,us,us
2020-01-03T03:41:15.230Z,17.9006,-66.8261,2,4.7,ml,19,214,0.2287,0.19,pr,pr2020003002,2020-01-07T08:47:24.468Z,"13km S of Indios, Puerto Rico",earthquake,0.91,0.72,0,0,reviewed,pr,pr
2020-01-03T01:19:10.530Z,40.2477,139.3298,193.71,4.9,mb,,121,2.357,0.58,us,us70006u1x,2020-01-03T01:59:22.481Z,"59km W of Noshiro, Japan",earthquake,4.5,7.4,0.043,170,reviewed,us,us
2020-01-02T20:42:02.330Z,17.9148,-66.8333,7,4.5,ml,20,210,0.0758,0.21,pr,pr2020002036,2020-01-05T19:22:31.040Z,"13km S of Indios, Puerto Rico",earthquake,1.04,0.7,0.16,12,reviewed,pr,pr
2020-01-02T18:23:51.096Z,35.8033,141.1341,17.05,5.6,mww,,65,0.875,1.37,us,us70006ttf,2020-01-05T19:47:11.460Z,"28km ENE of Hasaki, Japan",earthquake,5.7,3.2,0.069,20,reviewed,us,us
2020-01-02T16:00:31.920Z,-12.7676,45.5385,10,5.1,mww,,49,6.423,0.82,us,us70006tlq,2020-01-03T17:57:05.040Z,"27km E of Pamandzi, Mayotte",earthquake,5.9,1.8,0.078,16,reviewed,us,us
2020-01-02T15:41:11.740Z,-1.1029,147.224,10,4.6,mb,,104,0.944,0.73,us,us70006tl7,2020-01-05T01:27:23.829Z,"101km N of Lorengau, Papua New Guinea",earthquake,6.8,1.9,0.099,33,reviewed,us,us
2020-01-02T14:03:19.564Z,2.7332,128.6576,41.59,4.8,mb,,120,2.336,0.57,us,us70006tk2,2020-01-02T14:23:32.040Z,"132km NNE of Tobelo, Indonesia",earthquake,11.6,9.5,0.089,39,reviewed,us,us
2020-01-02T13:41:31.348Z,-9.6555,159.919,31.5,5.5,mb,,107,9.147,0.59,us,us70006tjm,2020-01-05T08:27:31.837Z,"24km S of Honiara, Solomon Islands",earthquake,10.4,5.6,0.079,55,reviewed,us,us
2020-01-02T12:04:00.179Z,51.1613,-179.35,35,4.8,mb,,188,1.537,0.82,us,us70006ti8,2020-01-02T12:34:10.040Z,"20km WSW of Amatignak Island, Alaska",earthquake,9.5,2,0.031,326,reviewed,us,us
2020-01-02T11:25:04.436Z,-5.7297,124.9909,10,5.5,mww,,43,3.974,0.99,us,us70006thw,2020-01-03T18:16:01.040Z,"266km E of Baubau, Indonesia",earthquake,5.6,1.5,0.071,19,reviewed,us,us
2020-01-02T10:37:07.702Z,-7.7646,122.8585,268.71,4.6,mb,,96,1.061,0.63,us,us70006thf,2020-01-02T12:10:04.040Z,"79km NNE of Palue, Indonesia",earthquake,8.5,7.6,0.132,17,reviewed,us,us
2020-01-02T08:54:32.599Z,55.5519,-151.386,7.92,4.8,mwr,,151,1.866,0.9,us,us70006tgh,2020-01-02T10:20:09.839Z,"256km SSE of Kodiak, Alaska",earthquake,6.7,4.7,0.054,33,reviewed,us,us
2020-01-02T05:37:35.319Z,-6.3719,130.1236,139.81,4.6,mb,,90,1.98,0.94,us,us70006tf3,2020-01-02T05:57:12.040Z,"218km NW of Saumlaki, Indonesia",earthquake,7.7,5.5,0.109,25,reviewed,us,us
2020-01-02T05:29:00.802Z,9.4695,138.0916,52.92,5.1,mww,,87,9.456,0.89,us,us70006tf2,2020-01-03T10:20:54.136Z,"6km SW of Yap, Micronesia",earthquake,10.2,2.4,0.08,15,reviewed,us,us
2020-01-02T04:29:06.637Z,34.1474,60.2996,10,5.5,mww,,45,1.627,0.73,us,us70006tev,2020-01-03T18:37:50.452Z,"78km SSW of Taybad, Iran",earthquake,6.8,1.8,0.089,12,reviewed,us,us
2020-01-02T03:35:22.971Z,12.5692,-88.1976,59.99,4.6,mb,,133,1.155,1.27,us,us70006tej,2020-01-03T15:46:38.123Z,"71km SSW of Intipuca, El Salvador",earthquake,7.2,7.7,0.037,223,reviewed,us,us
2020-01-02T00:32:53.905Z,-33.4373,-178.2268,10,4.5,mb,,170,4.187,0.65,us,us70006tdj,2020-01-02T02:21:54.040Z,"231km SSE of L'Esperance Rock, New Zealand",earthquake,10.4,2,0.156,12,reviewed,us,us
2020-01-01T23:12:53.590Z,-18.7816,-172.2119,10,5,mb,,79,2.182,1.02,us,us70006tcn,2020-01-02T00:08:26.040Z,"187km E of Neiafu, Tonga",earthquake,7.2,1.8,0.098,33,reviewed,us,us
2020-01-01T21:32:49.675Z,-33.2409,-177.6512,10,4.6,mb,,179,3.99,0.52,us,us70006tb2,2020-01-01T22:16:53.040Z,"232km SSE of L'Esperance Rock, New Zealand",earthquake,7.1,2,0.137,16,reviewed,us,us
2020-01-01T20:38:11.159Z,-33.308,-176.8487,10,4.8,mb,,146,4.154,0.46,us,us70006taw,2020-01-04T20:07:41.040Z,"283km SE of L'Esperance Rock, New Zealand",earthquake,9.5,1.9,0.109,29,reviewed,us,us
2020-01-01T20:37:54.600Z,-33.4556,-177.643,10,4.5,mb,,247,5.262,0.38,us,us70006ur8,2020-01-04T20:06:41.040Z,"253km SSE of L'Esperance Rock, New Zealand",earthquake,7.7,2,0.14,15,reviewed,us,us
2020-01-01T20:32:14.452Z,-18.6764,-172.1927,10,4.9,mb,,71,2.181,0.83,us,us70006t9g,2020-01-04T19:42:57.040Z,"188km E of Neiafu, Tonga",earthquake,12,1.9,0.077,55,reviewed,us,us
2020-01-01T20:01:26.760Z,-33.2082,-178.1706,10,5,mb,,80,3.956,0.96,us,us70006t8t,2020-01-04T18:56:57.040Z,"208km SSE of L'Esperance Rock, New Zealand",earthquake,8.8,1.9,0.093,40,reviewed,us,us
2020-01-01T19:28:51.961Z,-32.9699,-178.3172,18.17,5.4,mww,,64,3.728,1,us,us70006t8d,2020-01-04T17:22:52.358Z,"179km SSE of L'Esperance Rock, New Zealand",earthquake,8.4,3.3,0.054,33,reviewed,us,us
2020-01-01T18:47:18.923Z,44.1,150.0149,10,4.7,mb,,178,5.344,0.79,us,us70006t83,2020-01-04T16:46:47.040Z,"210km SE of Kuril'sk, Russia",earthquake,11,1.9,0.042,175,reviewed,us,us
2020-01-01T18:10:11.606Z,53.2599,170.2937,10,5.2,mb,,78,2.36,0.62,us,us70006t7e,2020-01-04T16:18:01.040Z,"199km WNW of Attu Station, Alaska",earthquake,7.4,1.8,0.023,620,reviewed,us,us
2020-01-01T16:51:32.230Z,-30.2741,-71.564,45.04,5,mwr,,102,0.403,0.87,us,us70006t6h,2020-01-01T23:39:11.339Z,"41km SSW of Coquimbo, Chile",earthquake,5.4,4.1,0.038,67,reviewed,us,us
2020-01-01T16:34:58.536Z,-53.0705,9.4576,10,5.1,mb,,147,19.439,0.74,us,us70006t6a,2020-01-01T17:31:34.040Z,"Southwest of Africa",earthquake,15.2,1.9,0.086,44,reviewed,us,us
2020-01-01T15:05:57.229Z,51.2034,-178.1293,38.96,5.2,mb,,61,0.554,0.97,us,us70006t5u,2020-01-03T18:48:22.040Z,"68km E of Amatignak Island, Alaska",earthquake,4.5,5.2,0.023,649,reviewed,us,us
2020-01-01T14:36:23.695Z,2.138,126.8047,38.31,4.5,mb,,70,1.468,0.8,us,us70006t5p,2020-01-01T18:14:02.040Z,"141km WNW of Tobelo, Indonesia",earthquake,8.5,8.9,0.113,26,reviewed,us,us
2020-01-01T13:18:48.237Z,-13.0508,45.5396,10,4.6,mb,,96,6.151,1.12,us,us70006t54,2020-01-01T17:50:01.040Z,"39km SE of Pamandzi, Mayotte",earthquake,11.8,1.9,0.097,34,reviewed,us,us
2020-01-01T08:31:23.723Z,-17.3521,-172.388,10,5.4,mb,,63,2.9,0.49,us,us70006t3c,2020-01-02T08:32:58.060Z,"212km SE of Hihifo, Tonga",earthquake,9.7,1.9,0.079,54,reviewed,us,us
2020-01-01T03:53:29.595Z,52.6658,159.1307,64.3,5.1,mb,,109,0.461,0.72,us,us70006t2a,2020-01-01T07:22:47.506Z,"53km SE of Petropavlovsk-Kamchatskiy, Russia",earthquake,8.1,6.5,0.029,375,reviewed,us,us
2020-01-01T03:20:28.684Z,51.6752,-176.7331,57.56,4.8,mwr,,128,0.209,0.89,us,us70006t22,2020-01-02T00:57:06.910Z,"23km SSW of Adak, Alaska",earthquake,8,5.4,0.089,12,reviewed,us,us
2020-01-01T00:28:22.402Z,-5.4233,152.5337,61.93,5,mb,,80,6.152,0.65,us,us70006t13,2020-01-01T00:50:00.040Z,"119km SSW of Taron, Papua New Guinea",earthquake,9.8,7.8,0.059,91,reviewed,us,us
2019-12-31T19:10:10.043Z,24.0896,121.6969,10.64,4.6,mwr,,63,0.125,1,us,us70006sxv,2020-01-06T06:59:04.956Z,"15km NE of Hualian, Taiwan",earthquake,3.1,3.5,0.063,24,reviewed,us,us
2019-12-31T19:02:55.574Z,44.0812,150.2156,10,4.8,mb,,88,5.49,0.86,us,us70006sxu,2020-01-03T22:38:02.040Z,"224km SE of Kuril'sk, Russia",earthquake,8.3,1.9,0.033,279,reviewed,us,us
2019-12-31T18:40:52.699Z,30.5417,-42.0301,10,4.8,mb,,91,24.927,0.83,us,us70006sxq,2020-01-03T22:32:43.040Z,"Northern Mid-Atlantic Ridge",earthquake,11.8,1.9,0.058,93,reviewed,us,us
2019-12-31T17:41:11.818Z,43.9176,150.1689,10,4.6,mb,,119,5.467,0.51,us,us70006sxi,2020-01-03T22:42:13.040Z,"233km SE of Kuril'sk, Russia",earthquake,9.6,1.9,0.063,78,reviewed,us,us
2019-12-31T14:57:24.295Z,-14.9785,167.8074,6.79,4.6,mb,,112,0.746,0.76,us,us70006svy,2019-12-31T15:26:09.040Z,"81km E of Port-Olry, Vanuatu",earthquake,7.6,5.6,0.093,35,reviewed,us,us
2019-12-31T11:22:53.820Z,-33.6889,-178.4968,38.16,5,mb,,121,4.659,0.49,us,us70006suy,2019-12-31T11:42:37.040Z,"253km S of L'Esperance Rock, New Zealand",earthquake,11.2,6.4,0.12,22,reviewed,us,us
